D= 1216
 GENUS#15;P=2; 3072; [H]+[7]+[48]
 GENUS#15;P=19; 720/19; [1]+[1]+[2]+[38]
 GENUS#16;P=2; 24576; [A]+[4]+[4]
 GENUS#16;P=19; 720/19; [1]+[1]+[1]+[19]
 GENUS#17;P=2; 16384; [7]+[2 H]+[12]
 GENUS#17;P=19; 720/19; [1]+[1]+[2]+[38]
 GENUS#18;P=2; 4096; [H]+[14]+[24]
 GENUS#18;P=19; 720/19; [1]+[1]+[1]+[19]
 GENUS#19;P=2; 8192; [H]+[28]+[12]
 GENUS#19;P=19; 720/19; [1]+[1]+[2]+[38]
 GENUS#20;P=2; 98304; [7]+[3]+[4 H]
 GENUS#20;P=19; 720/19; [1]+[1]+[2]+[38]

D= 1232
 GENUS#16;P=2; 2048; [1]+[3]+[2 H]
 GENUS#16;P=7; 96/7; [1]+[1]+[3]+[21]
 GENUS#16;P=11; 240/11; [1]+[1]+[1]+[22]

D= 1280
 GENUS#24;P=2; 393216; [1]+[2 A]+[112]
 GENUS#24;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#25;P=2; 98304; [A]+[10]+[96]
 GENUS#25;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#26;P=2; 131072; [5]+[2 H]+[112]
 GENUS#26;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#27;P=2; 262144; [1]+[7]+[2]+[24]
 GENUS#27;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#28;P=2; 131072; [1]+[2 H]+[48]
 GENUS#28;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#29;P=2; 1048576; [1]+[1]+[28]+[12]
 GENUS#29;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#30;P=2; 32768; [H]+[4]+[48]
 GENUS#30;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#31;P=2; 32768; [H]+[28]+[80]
 GENUS#31;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#32;P=2; 131072; [3]+[2 H]+[16]
 GENUS#32;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#33;P=2; 262144; [1]+[3]+[2]+[56]
 GENUS#33;P=5; 48/5; [1]+[1]+[2]+[10]
 GENUS#34;P=2; 32768; [H]+[8]+[24]
 GENUS#34;P=5; 48/5; [1]+[1]+[1]+[5]
 GENUS#35;P=2; 524288; [1]+[3]+[8 H]
